Question_ID,World_ID,Section_ID,Level_ID,Question_Title,Option_1,Option_2,Option_3,Correct_Option
148,2,1,5,150 * 155,20513,41092,43305,23250
149,2,1,5,350 * 350,30973,16800,44162,122500
150,2,1,5,990 * 700,27033,29880,26515,693000
151,2,2,1,9 / 3,14.01,2.85,4.87,3
152,2,2,1,2 / 2,0.06,6.8,2.76,1
153,2,2,1,5 / 2,7.61,6.85,8.19,2.50
154,2,2,1,7 / 6,0.83,0.59,14.59,1.17
155,2,2,1,8 / 8,12.14,7.75,9.05,1
156,2,2,2,10 / 3,2.71,15.11,17.07,3.33
157,2,2,2,18 / 6,0.12,2.92,0.79,3
158,2,2,2,25 / 5,9.34,4.87,2.74,5
159,2,2,2,39 / 6,2.12,6.66,6.59,6.50
160,2,2,2,40 / 4,2.86,0.59,1.3,10
161,2,2,3,55 / 10,6.95,1.58,3.41,5.50
162,2,2,3,70 / 15,1.15,0.26,2.69,4.67
163,2,2,3,82 / 12,1.09,1.38,6,6.83
164,2,2,3,90 / 18,5.57,3.61,7.94,5
165,2,2,3,99 / 33,1.04,10.75,4.19,3
166,2,2,4,100 / 40,8.26,3.23,10.4,2.50
167,2,2,4,200 / 55,9.2,5.62,4.59,3.64
168,2,2,4,350 / 60,7.93,10.78,8.26,5.83
169,2,2,4,550 / 50,49,33,7,11
170,2,2,4,770 / 7,22,22,26,110
171,2,2,5,1000 / 250,35,6,48,4
172,2,2,5,2500 / 125,44,14,8,20
173,2,2,5,6800 / 170,50,0,9,40
174,2,2,5,7540 / 400,23,27,29,18.85
175,2,2,5,9930 / 590,23,5,2,16.83
176,2,3,1,2 * 3 * 4,36,79,53,24
177,2,3,1,3 * 4 * 5,83,14,96,60
178,2,3,1,3 * 1 * 2,14,33,21,6
179,2,3,1,7 * 6 * 9,39,53,50,378
180,2,3,1,8 * 8 * 8,38,10,63,512
181,2,3,2,2 / 1 / 2,0,3,1,1
182,2,3,2,4 / 2 / 2,4,8,0,1
183,2,3,2,6 / 3 / 3,3,2,5,0.67
184,2,3,2,1 / 4 / 2,1,9,4,0.13
185,2,3,2,4 / 5 / 9,0,4,10,0.09
186,2,3,3,10 / 5 * 3,77,18,0,60
187,2,3,3,5 * 4 / 5,21,13,32,4
188,2,3,3,8 * 10 / 5,44,94,34,16
189,2,3,3,90 / 3 * 8,81,6,43,240
190,2,3,3,77 * 4 / 6,79,79,72,51.33
191,2,3,4,9 * 10 / 30,49,100,100,3
192,2,3,4,20 / 5 * 15,41,8,57,60
193,2,3,4,40 / 8 * 25,96,47,10,125
194,2,3,4,75 / 15 * 2,12,36,64,10
195,2,3,4,80 * 9 / 12,37,1,7,60
196,2,3,5,100 / 20 * 120,177,323,198,600
197,2,3,5,220 * 22 / 150,363,216,297,32.27
198,2,3,5,55 * 235 / 120,141,166,465,107.71
199,2,3,5,400 * 400 / 80,295,433,477,2000
200,2,3,5,770 * 60 / 300,483,306,239,154
201,2,4,1,1.0 * 5,28.65,18.41,80.67,5
202,2,4,1,3.1 * 3,5.52,13.16,0.7,9.30
203,2,4,1,5.2 * 6,30.94,55.67,45.17,31.20
204,2,4,1,7.2 * 8,34.97,3.69,2.39,57.60
205,2,4,1,9.9 * 9,63.86,14.83,7.24,89.10
206,2,4,2,1.5 / 2,21.27,6.89,19.71,0.75
207,2,4,2,.2 / 4,52.25,54.51,6.67,0.05
208,2,4,2,5.7 / 3,71.37,1.87,45.73,1.90
209,2,4,2,8.4 / 4,6.49,57.51,9.83,2.10
210,2,4,2,6.4 / 6,46.75,84.89,17.56,1.07
211,2,4,3,1.31 * 3,37.32,24.88,56.95,3.93
212,2,4,3,2.50 * 5,15.42,4.87,48.63,12.50
213,2,4,3,3.42 / 4,0.24,76.2,9.07,0.86
214,2,4,3,6.25 / 6,7.55,51.93,14.11,1.04
215,2,4,3,8.81 * 7,28.47,15.49,7.56,61.67
216,2,4,4,1.2 * 0.5 * 3,34.05,1.45,0.13,1.80
217,2,4,4,2.1 * 5 / 2.1,58.57,17.22,3.42,5
218,2,4,4,3.6 / 3 * 2.5,33.05,2.4,70.51,3
219,2,4,4,6.2 * 1.5 / 3,0.7,33.39,3.76,3.10
220,2,4,4,9.3 * 2 / 6.2,8.35,58.89,0.21,3
221,2,4,5,1.12 * 2.4,14.56,33.16,31.15,2.69
222,2,4,5,2.23 * 2.7,2.91,31.59,16.21,6.02
223,2,4,5,4.86 / 2.4,10.33,40.45,2.29,2.03
224,2,4,5,6.63 / 2.1,39.64,44.57,27.19,3.16
225,2,4,5,8.64 / 3.2,5.09,41.29,41.13,2.70
226,2,5,1,(1/2) * (1/5),2.31,0.42,1.23,0.10
227,2,5,1,(2/3) * (4/5),0,1.33,2.52,0.53
228,2,5,1,(2/5) * (7/8),4.45,3.35,3.5,0.35
229,2,5,1,(5/6) * (2/9),1.48,3.44,3.58,0.19
230,2,5,1,(4/7) * (8/9),0,1.79,4.75,0.50
231,2,5,2,(1/2) / (1/2),0.81,1.21,0.44,1
232,2,5,2,(1/4) / (1/6),0,5.6,2.93,1.50
233,2,5,2,(2/3) / (2/5),0.24,0.38,4.97,1.66
234,2,5,2,(3/5) / (4/5),4.85,0,0.97,0.75
235,2,5,2,(7/5) / (8/9),0.84,2.75,1.63,1.57
236,2,5,3,(5/2) * 2.4,0.1,3.43,0.54,6
237,2,5,3,(1/3) * 5.5,5.49,0.86,2.51,1.83
238,2,5,3,8.2 / (1/2),0,1.89,0.32,16.40
239,2,5,3,9.1 / (3/5),0.04,0.99,3.94,15.16
240,2,5,3,8.8 * (4/5),6.27,0.32,1.61,7.04
241,2,5,4,(1/2) * (1/7) / 2.5,1.8,0.12,8.29,0.03
242,2,5,4,(1/5) * (2/3) / 3.3,1.31,5.35,3.55,0.04
243,2,5,4,(2/3) * (1/9) / 4.4,1.38,0.54,2.98,0.02
244,2,5,4,(2/5) * (1/8) / 6.2,0.21,0.77,2.33,0.01
245,2,5,4,(3/4) * (5/6) / 7.5,2.75,0.01,2.4,0.08
246,2,5,5,(1/10) * 1.45,0,1.57,1.44,0.15
247,2,5,5,(2/15) * 2.85,0.51,2.34,5.7,0.38
248,2,5,5,(4/20) * 1.85,2.39,5.49,0.14,0.37
249,2,5,5,(5/35) / 1.62,0.05,4,0.44,0.09
250,2,5,5,(9/50) * 7.89,2.88,2.52,3.52,1.42
251,3,1,1,(3+1) or (5-2),3,2,7,3
252,3,1,1,(5+1) or (8-4),2,10,2,4
253,3,1,1,(2+7) or (1+9),2,7,5,9
254,3,1,1,(7-1) or (2+2),8,6,5,4
255,3,1,1,(3+4) or (7+1),5,10,0,7
256,3,1,2,(13+3) or (20-7),46,28,7,13
257,3,1,2,(15+3) or (33-20),86,36,55,13
258,3,1,2,(30-7) or (20+7),82,89,5,23
259,3,1,2,(62-3) or (70-10),25,28,82,59
260,3,1,2,(63-3) or (55+6),9,66,71,60
261,3,1,3,(20+50) or (90-40),25,11,24,50
262,3,1,3,(17+49) or (50-29),11,47,98,21
263,3,1,3,(27+39) or (98-20),1,24,71,66
264,3,1,3,(39+19) or (50+18),48,98,31,58
265,3,1,3,(20+50) or (70-15),45,63,9,55
266,3,1,4,(100+28) or (200-52),890,980,319,128
267,3,1,4,(100+51) or (200-50),732,581,454,150
268,3,1,4,(257+42) or (340-42),397,680,374,298
269,3,1,4,(300+22) or (400-80),805,316,722,320
270,3,1,4,(820-65) or (700+25),302,994,470,725
271,3,1,5,(200+300) or (500+100),314,850,875,500
272,3,1,5,(199+353) or (500-205),127,702,365,295
273,3,1,5,(249-150) or (160-43),660,155,533,117
274,3,1,5,(649-249) or (194+284),362,394,289,400
275,3,1,5,(593+294) or (968-385),725,992,820,583
276,3,2,1,(2+5) or (3+4) or (2+2),7,10,10,7
277,3,2,1,(4+2) or (9-1) or (2-1),1,9,3,6
278,3,2,1,(2+7) or (6-1) or (1+4),6,3,3,5
279,3,2,1,(7-2) or (7-5) or (7-4),9,4,2,3
280,3,2,1,(1+7) or (9-2) or (2+7),4,7,2,8
281,3,2,2,(30+1) or (53-2) or (30+9),14,98,13,39
282,3,2,2,(57+1) or (83-4) or (60+5),54,41,28,65
283,3,2,2,(23+7) or (19+9) or (30-7),91,11,27,28
284,3,2,2,(23-1) or (21+2) or (30-2),36,70,92,23
285,3,2,2,(33+4) or (37+1) or (22+9),43,67,86,37
286,3,2,3,(20+50) or (90-40) or (20+40),96,79,86,60
287,3,2,3,(17+49) or (50-29) or (11+33),62,68,82,44
288,3,2,3,(27+39) or (98-20) or (22+30),36,99,83,66
289,3,2,3,(39+19) or (50+18) or (60+10),74,97,97,68
290,3,2,3,(20+50) or (70-15) or (40+31),58,87,92,70
291,3,2,4,(100+28) or (200-52) or (210-99),646,858,486,128
292,3,2,4,(150-61) or (100+51) or (200-50),294,964,701,150
293,3,2,4,(257+43) or (340-42) or (200+90),620,905,884,298
294,3,2,4,(300+22) or (400-80) or (290+31),434,794,145,321
295,3,2,4,(820-65) or (700+25) or (699+49),413,202,169,748
296,3,2,5,(320+190) or (200+300) or (500+11),355,640,808,510
297,3,2,5,(400+180) or (199+353) or (500-205),963,485,480,552
298,3,2,5,(249-150) or (160-143) or (300-200),537,802,682,99
299,3,2,5,(649-249) or (194+284) or (304+201),459,723,513,478
300,3,2,5,(593+294) or (968-385) or (250+250),497,100,712,583
301,3,3,1,(3*1) or (5*2),14,48,33,10
302,3,3,1,(5*1) or (8*4),29,42,0,32
303,3,3,1,(2*7) or (1*9),2,31,1,14
304,3,3,1,(7*1) or (2*2),30,46,36,7
305,3,3,1,(3*4) or (7*1),15,36,36,12
306,3,3,2,(13*3) or (20*7),137,196,161,39
307,3,3,2,(15*3) or (33*20),193,128,96,45
308,3,3,2,(30*7) or (20*7),129,112,58,140
309,3,3,2,(62*3) or (70*10),172,151,172,186
310,3,3,2,(63*3) or (55*6),118,86,130,189
311,3,3,3,(20*50) or (90*40),3904,4239,2197,3600
312,3,3,3,(17*49) or (50*29),4596,3974,4391,1450
313,3,3,3,(27*39) or (98*20),2355,2099,1841,1960
314,3,3,3,(39*19) or (50*18),4394,2344,3320,900
315,3,3,3,(20*50) or (70*15),4566,2157,2872,1050
316,3,3,4,(100*28) or (200*52),12184,6281,5830,2800
317,3,3,4,(100*51) or (200*50),5290,2884,5888,5100
318,3,3,4,(257*43) or (340*42),18100,10298,2125,11051
319,3,3,4,(300*22) or (400*80),18331,11456,11382,6600
320,3,3,4,(820*65) or (700*25),19440,4472,11008,17500
321,3,3,5,(200*300) or (500*100),22400,25464,17451,60000
322,3,3,5,(199*353) or (500*205),16232,29657,46888,102500
323,3,3,5,(249*150) or (160*243),45721,12669,42035,38880
324,3,3,5,(149*299) or (194*284),15748,12708,44874,55096
325,3,3,5,(593*294) or (368*385),15949,38973,30439,174342
326,3,4,1,(3+1) or (5*2),10,12,8,10
327,3,4,1,(5+1) or (8/4),15,15,11,6
328,3,4,1,(2+7) or (1*9),4,6,12,9
329,3,4,1,(7-1) or (2*2),5,18,19,6
330,3,4,1,(3+4) or (8*1),0,20,2,7
331,3,4,2,(13+3) or (10*2),17,10,12,16
332,3,4,2,(15+3) or (33/20),9,13,6,1.65
333,3,4,2,(30-7) or (20/7),7,12,12,2.85
334,3,4,2,(61-3) or (70/10),13,19,13,7
335,3,4,2,(63-3) or (55/6),18,11,19,9.17
336,3,4,3,(20+50) or (90/40),39,100,17,70
337,3,4,3,(17+49) or (50/19),59,89,25,66
338,3,4,3,(27+39) or (98*20),62,35,98,1960
339,3,4,3,(39+19) or (50*18),72,40,31,900
340,3,4,3,(20+50) or (70/15),37,44,75,70
341,3,4,4,(100+28) or (200*52),247,188,108,128
342,3,4,4,(100+51) or (200/50),953,552,989,4
343,3,4,4,(257+43) or (340/42),615,209,940,8.10
344,3,4,4,(300+22) or (400/80),933,272,431,5
345,3,4,4,(820-65) or (700*25),410,864,825,755
346,3,4,5,(200+300) or (500/100),803,370,598,500
347,3,4,5,(199+353) or (500/205),536,601,499,552
348,3,4,5,(249-150) or (160/143),321,339,706,99
349,3,4,5,(649-249) or (194*284),531,911,665,55096
350,3,4,5,(593+294) or (926/385),307,498,807,887
351,3,5,1,(5+6+4) or (2-4+9) or (2+8-1),36,35,24,15
352,3,5,1,(2*3+5) or (1*4+4) or (3+2*5),33,23,21,13
353,3,5,1,(1+7*2) or (1-3+9) or (2+9*2),4,31,21,20
354,3,5,1,(4*5-2) or (2*8+2) or (3*5-3),4,20,20,18
355,3,5,1,(2*5+3) or (2+5*2) or (5*5-9),18,27,12,16
356,3,5,2,(50+6+4) or (29-4+9) or (28+8-1),42,34,30,60
357,3,5,2,(23*3+5) or (10*4+4) or (39+2*5),7,5,36,74
358,3,5,2,(10+7*2) or (10-3+9) or (20-9*2),23,41,18,24
359,3,5,2,(48*5-2) or (29*8+2) or (39*5-3),5,6,3,238
360,3,5,2,(20*5+3) or (29+5*2) or (10*1-9),20,13,24,103
361,3,5,3,(20+50+3) or (90-40-4),97,69,100,73
362,3,5,3,(17+49+1) or (50/19+9),90,84,137,67
363,3,5,3,(27+39*8) or (98*10-9),186,124,164,971
364,3,5,3,(39+19+3) or (50*18-1),30,123,31,899
365,3,5,3,(20+50*3) or (70/15+3),136,113,121,170
366,3,5,4,(100+28/4) or (200*52-9),4439,8937,7436,10391
367,3,5,4,(100+51+1) or (200/50-5),3996,9934,2533,152
368,3,5,4,(257+43*4) or (340/42*5),1848,8149,471,429
369,3,5,4,(300+22*6) or (400/80*9),2821,7691,6375,432
370,3,5,4,(820-65*9) or (700*25/9),4393,1153,8505,1944.40
371,3,5,5,(200+300+9) or (500/100*9),2201,9942,4435,509
372,3,5,5,(199+354/3) or (500/205-9),3466,9473,7467,509
373,3,5,5,(249-150/5) or (160/143*5),5945,5058,3453,219
374,3,5,5,(649-249*2) or (194*284/9),7013,7535,4465,6121.80
375,3,5,5,(593+294*2) or (926/385*6),1285,249,275,1181
